LAT,LON
34.0241,-118.232
34.0565,-118.4445
34.2202,-118.5714
34.0234,-118.4292
34.0858,-118.297
33.981,-118.2897
34.1037,-118.3252
34.0219,-118.3002
34.0399,-118.2841
33.7799,-118.2639
34.0577,-118.2318
34.0261,-118.3317
34.0057,-118.2669
34.2597,-118.3201
34.0199,-118.2601
34.2226,-118.3713
34.0873,-118.296
34.1645,-118.5244
34.1016,-118.334
33.9792,-118.4666
34.0943,-118.331
34.0543,-118.2466
34.0129,-118.4291
33.9851,-118.2842
34.0753,-118.3795
34.2045,-118.392
34.2709,-118.3974
34.0968,-118.311
34.0968,-118.311
34.0525,-118.2432
34.09,-118.168
33.7242,-118.2858
33.7433,-118.2797
34.1209,-118.227
34.1016,-118.331
33.7767,-118.2687
34.0934,-118.2928
34.0212,-118.2805
34.0955,-118.2932
34.0449,-118.3411
34.1682,-118.5406
