LAT,LON
34.2282,-118.5535
34.0542,-118.3702
34.0277,-118.3272
34.1939,-118.3987
34.0617,-118.3004
33.9679,-118.2739
33.8638,-118.2993
34.2085,-118.3965
33.7442,-118.2879
34.2427,-118.4702
34.1603,-118.4513
34.069,-118.2991
34.0671,-118.2806
34.0488,-118.3749
34.214,-118.5754
34.0732,-118.1632
34.156,-118.4553
34.0601,-118.2805
34.2647,-118.4019
34.0674,-118.2929
34.0178,-118.2811
34.0792,-118.2191
34.0882,-118.2646
34.0073,-118.2941
34.1867,-118.4509
34.0156,-118.4173
34.0483,-118.3537
34.1618,-118.6302
33.9533,-118.2489
34.0577,-118.2987
34.231,-118.5535
34.0397,-118.3635
34.0782,-118.3573
34.0216,-118.2564
34.1807,-118.6105
34.0903,-118.1624
34.154,-118.4279
34.2527,-118.5024
34.049,-118.2592
34.2259,-118.6126
34.2048,-118.5339
33.7649,-118.2485
34.045,-118.3651
34.1975,-118.5273
34.0776,-118.3187
34.0406,-118.5623
33.9819,-118.2849
34.2382,-118.5405
34.1722,-118.3703
34.254,-118.5128
34.2175,-118.3726
33.9029,-118.2873
34.1969,-118.6173
33.9483,-118.2739
34.1032,-118.3362
34.0782,-118.3648
34.2022,-118.4343
34.0519,-118.4319
34.0508,-118.3133
34.1867,-118.4181
34.1837,-118.5846
33.9774,-118.2783
34.0255,-118.2153
33.971,-118.3003
34.1599,-118.3774
33.7948,-118.2694
34.0213,-118.2756
33.8031,-118.2585
34.1649,-118.3746
34.0615,-118.247
33.9355,-118.4386
34.149,-118.4372
34.0537,-118.2034
33.98,-118.4384
34.2164,-118.3643
34.0559,-118.3053
34.0485,-118.3334
34.0736,-118.1724
34.0203,-118.319
34.0003,-118.4354
34.0325,-118.3955
34.0888,-118.2788
34.0399,-118.3311
33.9833,-118.2696
34.2085,-118.4618
34.1576,-118.4138
33.9447,-118.2739
34.2518,-118.5886
34.0109,-118.3078
34.0582,-118.3639
34.043,-118.2606
34.0572,-118.272
33.9456,-118.3833
34.1957,-118.4749
33.7948,-118.2694
34.0944,-118.3604
34.2171,-118.4685
33.9924,-118.272
33.9627,-118.294
33.7412,-118.2924
34.0467,-118.2485
34.0889,-118.3266
34.2157,-118.4771
34.2479,-118.4127
34.1758,-118.373
34.1383,-118.3662
34.0768,-118.2585
34.0238,-118.3669
34.1482,-118.4138
34.0425,-118.3818
34.0108,-118.3171
34.0392,-118.3062
34.2226,-118.3713
34.0277,-118.4101
33.981,-118.4332
34.1903,-118.4052
33.9987,-118.2959
34.1726,-118.5622
33.9966,-118.4116
34.1577,-118.3823
34.0521,-118.2045
34.1723,-118.536
34.2255,-118.5383
34.1809,-118.6089
