LAT,LON
34.0565,-118.4445
34.0234,-118.4292
34.0399,-118.2841
33.7799,-118.2639
34.0577,-118.2318
34.0943,-118.331
34.1016,-118.331
34.0934,-118.2928
34.0955,-118.2932
34.0449,-118.3411
34.1682,-118.5406
34.227,-118.5885
34.062,-118.2804
34.0051,-118.4384
33.9824,-118.3003
34.0261,-118.366
34.2178,-118.373
34.1867,-118.4774
34.1756,-118.6146
34.0786,-118.1693
34.2647,-118.4935
33.9399,-118.2362
34.0111,-118.3477
34.1878,-118.6161
33.9718,-118.2739
33.9727,-118.2914
34.2247,-118.4709
34.0707,-118.2103
34.082,-118.1769
34.1774,-118.5491
34.2265,-118.4565
34.1533,-118.4058
34.1867,-118.4774
34.2257,-118.6029
34.1867,-118.4774
33.9739,-118.2586
34.0568,-118.2891
34.0518,-118.3063
34.2065,-118.6147
34.2407,-118.2947
34.0393,-118.4465
34.1944,-118.5486
34.1026,-118.2455
34.2189,-118.5667
33.9698,-118.2912
34.2047,-118.5994
33.9974,-118.2982
34.0636,-118.3016
34.0261,-118.3589
34.0615,-118.2412
34.2843,-118.3996
34.2251,-118.5333
0,0
34.2787,-118.3903
34.0375,-118.4622
34.0449,-118.3866
34.0641,-118.1747
34.3232,-118.4695
34.0249,-118.2121
33.9969,-118.3023
34.214,-118.6311
34.0934,-118.2974
0,0
34.2213,-118.4809
34.0462,-118.3444
34.0682,-118.2694
34.1792,-118.5904
34.0255,-118.1957
34.079,-118.294
34.2554,-118.5907
34.2554,-118.5886
34.2811,-118.5118
34.2636,-118.5055
34.0265,-118.2158
34.2254,-118.5128
34.0484,-118.4544
34.2012,-118.5469
34.0376,-118.2166
0,0
33.9943,-118.2595
34.0334,-118.2122
34.2207,-118.6418
34.1017,-118.3123
34.2361,-118.5441
34.169,-118.507
34.1629,-118.5202
33.9806,-118.2717
34.024,-118.409
33.9303,-118.2463
34.1504,-118.3709
34.261,-118.4874
34.2214,-118.5055
34.0557,-118.444
34.1866,-118.5411
34.2107,-118.5744
34.2106,-118.5579
34.205,-118.5109
34.0822,-118.3034
34.0511,-118.4643
34.2516,-118.2816
34.3172,-118.4341
34.1118,-118.3145
34.0581,-118.3009
34.2107,-118.5744
33.736,-118.284
33.9773,-118.3279
34.0322,-118.3041
34.1721,-118.459
34.0687,-118.4365
34.1134,-118.2609
34.2283,-118.4416
34.1056,-118.2303
34.1693,-118.5184
34.0509,-118.2916
34.1796,-118.6126
34.0305,-118.2915
34.1177,-118.2374
34.0491,-118.2968
34.0491,-118.2968
34.0463,-118.3067
33.931,-118.2761
34.2498,-118.5511
34.2667,-118.5525
34.0495,-118.4609
33.9958,-118.2783
34.0519,-118.2531
34.1849,-118.3889
34.2603,-118.5176
34.1693,-118.5184
34.1787,-118.5461
34.1684,-118.4586
34.2152,-118.4488
34.1961,-118.5563
34.2306,-118.5645
34.0589,-118.2821
34.0256,-118.2991
34.025,-118.2618
34.0309,-118.3078
34.0854,-118.2748
33.9609,-118.3156
33.9415,-118.2894
34.232,-118.4851
34.1431,-118.5034
33.7509,-118.288
34.1875,-118.5413
34.0592,-118.2414
34.2142,-118.606
34.1762,-118.5104
34.0509,-118.2642
34.1866,-118.5098
34.069,-118.2991
34.1693,-118.5184
34.0268,-118.2808
34.2306,-118.5645
34.2602,-118.5051
34.0408,-118.3435
34.0531,-118.2738
33.9415,-118.2894
34.0531,-118.2738
34.2139,-118.4837
34.2514,-118.5317
34.069,-118.2991
34.0119,-118.3133
34.2148,-118.5404
34.1404,-118.5003
34.1807,-118.536
34.0306,-118.204
33.9415,-118.2894
34.3029,-118.4517
34.2747,-118.5527
34.0491,-118.2968
34.167,-118.5501
34.0169,-118.3472
34.2012,-118.482
34.0145,-118.4178
34.0202,-118.2505
34.1063,-118.1995
34.252,-118.5798
33.9997,-118.2696
34.1509,-118.5911
34.0309,-118.3054
33.9348,-118.2739
34.2143,-118.5534
34.2572,-118.5951
34.093,-118.3068
34.0436,-118.2051
34.1384,-118.4642
34.2244,-118.5804
34.1724,-118.5388
34.2239,-118.3666
34.3103,-118.4467
34.3037,-118.477
34.2071,-118.5754
34.1131,-118.1776
34.2065,-118.5955
34.1306,-118.1908
34.1774,-118.5387
34.2048,-118.5197
33.9786,-118.2761
34.0719,-118.2144
33.7974,-118.2372
34.0672,-118.2979
34.098,-118.3197
34.0491,-118.2016
34.2572,-118.6017
33.9308,-118.2493
34.074,-118.2638
34.2283,-118.6038
34.2794,-118.4097
34.2942,-118.5735
34.1536,-118.4181
34.2314,-118.3973
34.2246,-118.5798
34.0792,-118.1954
34.2442,-118.5362
34.2781,-118.54
34.1954,-118.4433
34.153,-118.4312
34.0735,-118.3828
34.1732,-118.6152
33.7331,-118.2924
34.0531,-118.2738
34.2259,-118.4389
34.04,-118.3043
34.2524,-118.4837
34.2536,-118.6078
34.2942,-118.5735
34.3197,-118.4926
34.2758,-118.4052
34.1724,-118.5388
33.9438,-118.2894
33.7782,-118.2676
34.0757,-118.1711
34.261,-118.4345
34.0745,-118.2942
34.2626,-118.4094
33.9327,-118.2502
34.2942,-118.5735
33.9321,-118.2739
34.1724,-118.5388
