DR_NO,AREA,AREA NAME,Rpt Dist No,LOCATION,Cross Street,LAT,LON,,,,,,,,,,,,,,,,
211319839,13,Newton,1395,300 E 68TH ST,,33.9779,-118.2696,,,,,,,,,,,,,,,,
211810156,18,Southeast,1849,2100 E 111TH ST,,33.9343,-118.2352,,,,,,,,,,,,,,,,
211113749,11,Northeast,1127,FIGUEROA,YORK,34.1155,-118.1843,,,,,,,,,,,,,,,,
211713664,17,Devonshire,1753,20300 LASSEN ST,,34.2536,-118.5776,,,,,,,,,,,,,,,,
211316726,13,Newton,1371,54TH ST,GRAND AV,33.9933,-118.2801,,,,,,,,,,,,,,,,
210514879,5,Harbor,504,20900 HALLDALE AV,,33.838,-118.3017,,,,,,,,,,,,,,,,
210604735,6,Hollywood,676,6200 WILLOUGHBY AV,,34.0871,-118.331,,,,,,,,,,,,,,,,
211011855,10,West Valley,1001,8100 VANALDEN AV,,34.2174,-118.5492,,,,,,,,,,,,,,,,
211517614,15,N Hollywood,1519,6700 N CLYBOURN AV,,34.1922,-118.3637,,,,,,,,,,,,,,,,
211800706,18,Southeast,1801,HOOVER ST,90TH ST,33.9551,-118.287,,,,,,,,,,,,,,,,
210210275,2,Rampart,295,1100 VENICE BL,,34.0416,-118.2791,,,,,,,,,,,,,,,,
210407112,4,Hollenbeck,412,3300 ARTESIAN ST,,34.0838,-118.2166,,,,,,,,,,,,,,,,
210106982,1,Central,124,200 N LOS ANGELES ST,,34.0525,-118.2432,,,,,,,,,,,,,,,,
211315453,13,Newton,1391,64TH ST,GRAND AV,33.9814,-118.2802,,,,,,,,,,,,,,,,
211006517,10,West Valley,1011,BOVEY AV,RUNNYMEDE ST,34.206,-118.5603,,,,,,,,,,,,,,,,
210100587,1,Central,138,2ND,SAN PEDRO,34.0493,-118.2417,,,,,,,,,,,,,,,,
210104418,1,Central,152,7TH,FLOWER,34.0487,-118.2588,,,,,,,,,,,,,,,,
211115599,11,Northeast,1151,4800 HOLLYWOOD BL,,34.1018,-118.2953,,,,,,,,,,,,,,,,
