DR_NO,Status,Status Desc
201309918,IC,Invest Cont
200808185,IC,Invest Cont
202116237,IC,Invest Cont
201407132,IC,Invest Cont
200213879,IC,Invest Cont
201216692,IC,Invest Cont
200614773,IC,Invest Cont
200319306,IC,Invest Cont
202006611,IC,Invest Cont
210505348,AA,Adult Arrest
210104599,IC,Invest Cont
210312307,IC,Invest Cont
211311240,IC,Invest Cont
211608365,AA,Adult Arrest
211312016,AA,Adult Arrest
211608370,AA,Adult Arrest
210212709,AA,Adult Arrest
211011095,IC,Invest Cont
210611230,IC,Invest Cont
221414195,AA,Adult Arrest
220609095,AA,Adult Arrest
220120450,AA,Adult Arrest
231415125,AA,Adult Arrest
221212468,IC,Invest Cont
220717413,IC,Invest Cont
221510989,IC,Invest Cont
241604013,IC,Invest Cont
240604490,AA,Adult Arrest
230618559,AA,Adult Arrest
240104710,IC,Invest Cont
230414032,AO,Adult Other
230500775,AA,Adult Arrest
230517385,IC,Invest Cont
231115631,AA,Adult Arrest
230600555,IC,Invest Cont
230508655,IC,Invest Cont
231107773,IC,Invest Cont
230300679,IC,Invest Cont
231108093,IC,Invest Cont
240700646,IC,Invest Cont
241007152,IC,Invest Cont
201815548,AO,Adult Other
200400922,IC,Invest Cont
201711219,AA,Adult Arrest
200612588,AO,Adult Other
200914590,AA,Adult Arrest
201706495,IC,Invest Cont
200208133,AO,Adult Other
202114241,AO,Adult Other
202109696,AA,Adult Arrest
201407453,IC,Invest Cont
201912478,AO,Adult Other
201016127,AO,Adult Other
202108902,IC,Invest Cont
200410505,AA,Adult Arrest
201206885,IC,Invest Cont
200509604,AA,Adult Arrest
200304317,AO,Adult Other
201610437,AO,Adult Other
201016417,AA,Adult Arrest
201607943,AA,Adult Arrest
200317319,IC,Invest Cont
201715833,IC,Invest Cont
201111737,AO,Adult Other
201008100,IC,Invest Cont
202105439,IC,Invest Cont
200715172,AA,Adult Arrest
200216196,IC,Invest Cont
200619097,AO,Adult Other
200911798,AO,Adult Other
201011819,AA,Adult Arrest
200405459,IC,Invest Cont
201013666,AO,Adult Other
202115513,IC,Invest Cont
202109695,AA,Adult Arrest
201706686,AA,Adult Arrest
201315036,IC,Invest Cont
202115924,AO,Adult Other
200911308,AO,Adult Other
201009612,IC,Invest Cont
201804546,IC,Invest Cont
201818784,IC,Invest Cont
200306290,AA,Adult Arrest
201614652,AO,Adult Other
202105487,AO,Adult Other
201714494,AA,Adult Arrest
200211615,IC,Invest Cont
201221205,AO,Adult Other
201011497,AA,Adult Arrest
201917798,AA,Adult Arrest
201208082,AO,Adult Other
200413124,AO,Adult Other
201010767,AO,Adult Other
202113609,AO,Adult Other
200410184,IC,Invest Cont
200613047,AO,Adult Other
201211073,AO,Adult Other
201906998,AO,Adult Other
200913797,IC,Invest Cont
201016407,IC,Invest Cont
201715394,AA,Adult Arrest
200810829,AO,Adult Other
201708984,AO,Adult Other
200406234,AA,Adult Arrest
201413548,IC,Invest Cont
200404475,AA,Adult Arrest
201917298,IC,Invest Cont
201007501,IC,Invest Cont
201111829,AO,Adult Other
201014026,IC,Invest Cont
201016164,AO,Adult Other
200618440,IC,Invest Cont
202113223,AO,Adult Other
201908239,AO,Adult Other
201321126,IC,Invest Cont
201910505,AO,Adult Other
201612631,IC,Invest Cont
201505491,AO,Adult Other
201008109,AA,Adult Arrest
200813492,AO,Adult Other
202107735,IC,Invest Cont
201007883,AA,Adult Arrest
201011894,AO,Adult Other
201008769,AO,Adult Other
201207432,AO,Adult Other
200610529,AA,Adult Arrest
202007392,IC,Invest Cont
201012605,AO,Adult Other
201909173,AA,Adult Arrest
202008391,IC,Invest Cont
202105219,AO,Adult Other
201606863,AO,Adult Other
200708848,AO,Adult Other
201413555,IC,Invest Cont
202110419,AO,Adult Other
201716073,AA,Adult Arrest
200804892,AA,Adult Arrest
200913761,AO,Adult Other
201005195,AO,Adult Other
201105293,AO,Adult Other
202106065,IC,Invest Cont
201715173,IC,Invest Cont
201008770,AO,Adult Other
201410821,AO,Adult Other
201910777,AA,Adult Arrest
201817317,IC,Invest Cont
200315040,AO,Adult Other
201211490,AO,Adult Other
201010643,AO,Adult Other
202105999,AO,Adult Other
201013730,AO,Adult Other
201415400,IC,Invest Cont
201011943,AO,Adult Other
201713955,AO,Adult Other
200411881,AO,Adult Other
201207774,AO,Adult Other
201013497,AA,Adult Arrest
202006182,AO,Adult Other
201716568,AA,Adult Arrest
200309964,AA,Adult Arrest
201715230,AO,Adult Other
200105139,IC,Invest Cont
201606519,AO,Adult Other
200314776,AO,Adult Other
200316615,IC,Invest Cont
201609558,AO,Adult Other
200211809,IC,Invest Cont
201013109,AA,Adult Arrest
201705843,AO,Adult Other
201010949,AO,Adult Other
202112704,AO,Adult Other
201308754,IC,Invest Cont
201608318,AO,Adult Other
200805991,AO,Adult Other
200806398,AO,Adult Other
202114168,AO,Adult Other
200715415,AO,Adult Other
200910961,AO,Adult Other
200321184,IC,Invest Cont
201320833,IC,Invest Cont
200405511,AA,Adult Arrest
201906743,AA,Adult Arrest
201815297,IC,Invest Cont
201911975,AA,Adult Arrest
200407981,IC,Invest Cont
202108903,IC,Invest Cont
202111756,IC,Invest Cont
200715609,IC,Invest Cont
201016128,AO,Adult Other
201209207,AO,Adult Other
202108904,IC,Invest Cont
202109697,AA,Adult Arrest
201711768,IC,Invest Cont
202109379,AA,Adult Arrest
211710805,AA,Adult Arrest
212115300,AA,Adult Arrest
211914046,IC,Invest Cont
210320632,AA,Adult Arrest
211116674,AO,Adult Other
211712567,IC,Invest Cont
212016640,IC,Invest Cont
211104767,AA,Adult Arrest
211009834,AO,Adult Other
212113640,AA,Adult Arrest
211009590,AO,Adult Other
211305802,IC,Invest Cont
210319305,AO,Adult Other
211217093,AO,Adult Other
211706407,AA,Adult Arrest
211711604,AO,Adult Other
211711455,AO,Adult Other
212113873,AA,Adult Arrest
211115744,AO,Adult Other
212012166,AA,Adult Arrest
211707934,AO,Adult Other
211710085,AA,Adult Arrest
210707752,IC,Invest Cont
211714500,IC,Invest Cont
212008760,AO,Adult Other
210415395,AO,Adult Other
210511763,IC,Invest Cont
212116387,AO,Adult Other
212014782,AO,Adult Other
210205652,IC,Invest Cont
211812217,IC,Invest Cont
211813525,IC,Invest Cont
212108390,AA,Adult Arrest
211800769,IC,Invest Cont
212106185,AA,Adult Arrest
210407807,AO,Adult Other
211710386,AO,Adult Other
210909724,AO,Adult Other
212112689,AO,Adult Other
211913212,AA,Adult Arrest
211715317,AO,Adult Other
210206345,AA,Adult Arrest
211910375,IC,Invest Cont
211014925,AA,Adult Arrest
211707424,AO,Adult Other
212113998,AO,Adult Other
211012418,AA,Adult Arrest
211013121,AO,Adult Other
212109689,AA,Adult Arrest
212113014,AO,Adult Other
211014993,IC,Invest Cont
210313226,IC,Invest Cont
210414349,AO,Adult Other
211510413,AA,Adult Arrest
211704144,AA,Adult Arrest
211611243,AA,Adult Arrest
211707836,AO,Adult Other
212111729,IC,Invest Cont
210416257,AA,Adult Arrest
211706760,AO,Adult Other
211706783,AO,Adult Other
210405649,AA,Adult Arrest
211704297,IC,Invest Cont
212109464,AO,Adult Other
211015906,AO,Adult Other
211711548,AA,Adult Arrest
210806513,AO,Adult Other
210412525,IC,Invest Cont
211007820,AO,Adult Other
211005040,AA,Adult Arrest
210404435,IC,Invest Cont
211910423,AA,Adult Arrest
211015161,AA,Adult Arrest
210319221,IC,Invest Cont
210406359,IC,Invest Cont
212111906,AO,Adult Other
211712513,IC,Invest Cont
211007917,AO,Adult Other
211708459,AO,Adult Other
210310037,IC,Invest Cont
210212790,AO,Adult Other
212109894,IC,Invest Cont
211304617,IC,Invest Cont
210817587,IC,Invest Cont
211008774,IC,Invest Cont
211113464,AA,Adult Arrest
211912673,IC,Invest Cont
212015578,AO,Adult Other
210404175,AO,Adult Other
210408390,IC,Invest Cont
212107565,AO,Adult Other
211714255,IC,Invest Cont
212112513,AO,Adult Other
210615511,IC,Invest Cont
211013293,AO,Adult Other
211015502,IC,Invest Cont
210617785,IC,Invest Cont
210516915,IC,Invest Cont
210413100,AA,Adult Arrest
212013467,AO,Adult Other
210607466,AO,Adult Other
211707019,AO,Adult Other
211518424,AO,Adult Other
212011806,AO,Adult Other
211007154,IC,Invest Cont
210515382,AA,Adult Arrest
211007089,AA,Adult Arrest
211308530,IC,Invest Cont
211407364,AA,Adult Arrest
211916250,AO,Adult Other
211708323,AO,Adult Other
210817423,AO,Adult Other
212108829,AO,Adult Other
211013273,AA,Adult Arrest
211817720,AO,Adult Other
210409113,IC,Invest Cont
211015019,AA,Adult Arrest
211807556,IC,Invest Cont
210319220,IC,Invest Cont
210612208,AA,Adult Arrest
211312577,IC,Invest Cont
210812557,IC,Invest Cont
212117675,IC,Invest Cont
211504384,IC,Invest Cont
211711756,AO,Adult Other
212108785,IC,Invest Cont
211016135,AO,Adult Other
210216356,AO,Adult Other
211015008,AA,Adult Arrest
210713735,AO,Adult Other
212012142,AA,Adult Arrest
211707396,IC,Invest Cont
211411289,IC,Invest Cont
211114113,AO,Adult Other
211707859,AO,Adult Other
211817663,IC,Invest Cont
211612837,IC,Invest Cont
210807405,IC,Invest Cont
211007238,AO,Adult Other
211815210,IC,Invest Cont
210817593,IC,Invest Cont
211716176,AO,Adult Other
210609172,AA,Adult Arrest
222004005,AO,Adult Other
211014041,AO,Adult Other
212107032,IC,Invest Cont
211316530,AA,Adult Arrest
211004290,AO,Adult Other
211612217,IC,Invest Cont
211715832,AA,Adult Arrest
211008787,AO,Adult Other
212110897,AO,Adult Other
211009714,AO,Adult Other
212114641,AO,Adult Other
211710622,IC,Invest Cont
212006820,IC,Invest Cont
210710215,AO,Adult Other
212111837,AO,Adult Other
211710729,AO,Adult Other
211611367,IC,Invest Cont
212010287,AO,Adult Other
210512511,AA,Adult Arrest
210617273,IC,Invest Cont
211015209,AO,Adult Other
212112435,AA,Adult Arrest
212112351,IC,Invest Cont
211714907,AA,Adult Arrest
211711551,IC,Invest Cont
210806565,IC,Invest Cont
211712849,AO,Adult Other
210311535,AA,Adult Arrest
211010490,IC,Invest Cont
211607689,IC,Invest Cont
211604244,AA,Adult Arrest
210316754,IC,Invest Cont
210414125,IC,Invest Cont
210911566,AO,Adult Other
212117615,AO,Adult Other
211907760,AA,Adult Arrest
210605709,AO,Adult Other
211015920,AA,Adult Arrest
211221873,AO,Adult Other
210117064,IC,Invest Cont
211013382,AA,Adult Arrest
211422868,AA,Adult Arrest
212108405,AO,Adult Other
211708919,IC,Invest Cont
212109463,IC,Invest Cont
211709625,AA,Adult Arrest
211015031,AA,Adult Arrest
212007774,IC,Invest Cont
212112894,AO,Adult Other
212010100,AO,Adult Other
212011526,AA,Adult Arrest
212107031,IC,Invest Cont
212111922,AO,Adult Other
211909016,AA,Adult Arrest
210505014,AA,Adult Arrest
210317997,IC,Invest Cont
212113064,AO,Adult Other
211210646,IC,Invest Cont
212116212,AO,Adult Other
210304019,AA,Adult Arrest
212112512,AO,Adult Other
211015468,AO,Adult Other
210216166,AA,Adult Arrest
221012375,AA,Adult Arrest
211111853,IC,Invest Cont
211715717,AO,Adult Other
211113880,IC,Invest Cont
210408320,AA,Adult Arrest
210904823,AO,Adult Other
211710176,AA,Adult Arrest
212111562,AO,Adult Other
212010111,IC,Invest Cont
211013779,IC,Invest Cont
211708125,AO,Adult Other
210805192,AO,Adult Other
211709940,AO,Adult Other
221709672,IC,Invest Cont
221416916,AO,Adult Other
221714278,AA,Adult Arrest
222017250,AA,Adult Arrest
221709669,IC,Invest Cont
220317017,IC,Invest Cont
220311406,IC,Invest Cont
220909807,IC,Invest Cont
221011062,AA,Adult Arrest
221107061,IC,Invest Cont
221907081,IC,Invest Cont
221105355,AO,Adult Other
221006669,AA,Adult Arrest
222006597,AO,Adult Other
221009401,AO,Adult Other
220812821,AO,Adult Other
221012423,IC,Invest Cont
221013085,AO,Adult Other
221318119,IC,Invest Cont
221715015,IC,Invest Cont
221711129,AO,Adult Other
222107234,AO,Adult Other
221009936,AA,Adult Arrest
221012385,IC,Invest Cont
221014118,IC,Invest Cont
221015891,AO,Adult Other
220913761,AO,Adult Other
220914226,AO,Adult Other
220307186,AO,Adult Other
220917835,IC,Invest Cont
220615883,AA,Adult Arrest
221818681,IC,Invest Cont
220315596,AO,Adult Other
221517359,AO,Adult Other
221012111,AO,Adult Other
221011438,AO,Adult Other
221715427,IC,Invest Cont
221010345,AA,Adult Arrest
221107055,AA,Adult Arrest
221716979,AO,Adult Other
222005886,AO,Adult Other
222111057,AA,Adult Arrest
222111770,AA,Adult Arrest
222007721,AO,Adult Other
221710246,AA,Adult Arrest
220912427,AO,Adult Other
221517358,AO,Adult Other
220910337,IC,Invest Cont
220910849,AO,Adult Other
221117557,IC,Invest Cont
221709670,IC,Invest Cont
220713435,AO,Adult Other
222007659,IC,Invest Cont
220913963,AA,Adult Arrest
221805775,IC,Invest Cont
221715476,AO,Adult Other
220126591,IC,Invest Cont
221709582,IC,Invest Cont
221705583,AA,Adult Arrest
221704940,IC,Invest Cont
221709634,AO,Adult Other
222111979,AO,Adult Other
221716545,AO,Adult Other
220807328,IC,Invest Cont
221916328,AO,Adult Other
222018125,IC,Invest Cont
220616746,AA,Adult Arrest
221225626,AO,Adult Other
221305409,IC,Invest Cont
220106785,AO,Adult Other
221711075,IC,Invest Cont
221708866,AO,Adult Other
221713350,IC,Invest Cont
221504178,AA,Adult Arrest
221709490,IC,Invest Cont
221313469,IC,Invest Cont
221715473,AO,Adult Other
221707006,AO,Adult Other
222010942,IC,Invest Cont
222114419,IC,Invest Cont
220612944,AO,Adult Other
220812107,AO,Adult Other
220312010,IC,Invest Cont
221916040,IC,Invest Cont
221711977,AO,Adult Other
221715794,AA,Adult Arrest
221005078,AA,Adult Arrest
221005276,AO,Adult Other
221517378,IC,Invest Cont
220316486,IC,Invest Cont
221709778,AO,Adult Other
220907860,AO,Adult Other
221816462,IC,Invest Cont
220118597,AO,Adult Other
222112894,AO,Adult Other
221013784,IC,Invest Cont
221908213,AO,Adult Other
221007000,IC,Invest Cont
221700718,IC,Invest Cont
220205059,AO,Adult Other
220304600,IC,Invest Cont
221309932,IC,Invest Cont
222118234,IC,Invest Cont
220218654,AA,Adult Arrest
220306150,AO,Adult Other
220717892,IC,Invest Cont
221018218,IC,Invest Cont
220209463,AO,Adult Other
221712543,AO,Adult Other
221009167,AO,Adult Other
221011075,AO,Adult Other
220218347,AA,Adult Arrest
221711076,IC,Invest Cont
220311279,IC,Invest Cont
222112998,AO,Adult Other
221208987,IC,Invest Cont
221708118,IC,Invest Cont
221715727,AO,Adult Other
221712671,IC,Invest Cont
221807746,IC,Invest Cont
221316507,IC,Invest Cont
220909035,AA,Adult Arrest
221707295,AO,Adult Other
221010622,AA,Adult Arrest
220209587,IC,Invest Cont
221004834,AO,Adult Other
221018156,AO,Adult Other
221710546,IC,Invest Cont
220506024,AO,Adult Other
221008229,AA,Adult Arrest
220105518,IC,Invest Cont
221709671,IC,Invest Cont
220318533,AA,Adult Arrest
221008475,AO,Adult Other
221714476,IC,Invest Cont
222105353,AA,Adult Arrest
