DR_NO,Crm Cd,Crm Cd Desc
231706083,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
230706619,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
230305043,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
231509570,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
232007272,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
231216743,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
230513575,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
231608608,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
230515149,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
231916735,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
230904459,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
232016704,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
230221429,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
230717526,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
232114836,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
230408016,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
230907900,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
230213370,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
231608681,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
232013219,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
230306318,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
230404679,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
231105785,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
230305911,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
230911003,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
231416158,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
230708096,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
232114157,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
231810281,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
232014498,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
231700004,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
230716917,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
230711954,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
231306141,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
232106371,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
230411870,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
230907960,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
231715650,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
230117139,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
232104875,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
231014023,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
230507792,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
230706354,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
231004342,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
232018804,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
230812094,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
231224690,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
231707299,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
231504623,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
231717737,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
231612373,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
231811729,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
232116072,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
231807318,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
230617513,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
230714082,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
230907050,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
230809477,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
232018349,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
230907806,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
