DR_NO,Date Rptd,DATE OCC,TIME OCC
201309918,04/25/2020 12:00:00 AM,04/25/2020 12:00:00 AM,1715
200808185,04/10/2020 12:00:00 AM,04/06/2020 12:00:00 AM,2030
202116237,11/22/2020 12:00:00 AM,11/21/2020 12:00:00 AM,2130
201407132,01/07/2020 12:00:00 AM,01/07/2020 12:00:00 AM,1500
200213879,08/18/2020 12:00:00 AM,08/18/2020 12:00:00 AM,130
201216692,07/18/2020 12:00:00 AM,07/18/2020 12:00:00 AM,25
200614773,09/01/2020 12:00:00 AM,08/29/2020 12:00:00 AM,1050
200319306,10/23/2020 12:00:00 AM,10/23/2020 12:00:00 AM,2150
202006611,01/17/2020 12:00:00 AM,01/16/2020 12:00:00 AM,2000
210505348,02/02/2021 12:00:00 AM,02/02/2021 12:00:00 AM,930
210104599,01/15/2021 12:00:00 AM,01/15/2021 12:00:00 AM,158
210312307,06/29/2021 12:00:00 AM,06/25/2021 12:00:00 AM,2130
211311240,06/15/2021 12:00:00 AM,06/15/2021 12:00:00 AM,2220
211608365,06/03/2021 12:00:00 AM,06/01/2021 12:00:00 AM,2300
211312016,07/01/2021 12:00:00 AM,06/30/2021 12:00:00 AM,1325
211608370,06/03/2021 12:00:00 AM,06/02/2021 12:00:00 AM,450
210212709,07/30/2021 12:00:00 AM,07/30/2021 12:00:00 AM,2045
211011095,08/09/2021 12:00:00 AM,08/09/2021 12:00:00 AM,100
210611230,06/15/2021 12:00:00 AM,06/15/2021 12:00:00 AM,235
221414195,07/24/2022 12:00:00 AM,07/24/2022 12:00:00 AM,2140
220609095,04/21/2022 12:00:00 AM,04/20/2022 12:00:00 AM,1410
220120450,09/14/2022 12:00:00 AM,09/13/2022 12:00:00 AM,1830
231415125,08/01/2023 12:00:00 AM,08/12/2022 12:00:00 AM,1
221212468,05/25/2022 12:00:00 AM,05/25/2022 12:00:00 AM,1050
220717413,12/05/2022 12:00:00 AM,12/05/2022 12:00:00 AM,1210
