DR_NO,Date Rptd,DATE OCC,TIME OCC
201215282,06/24/2020 12:00:00 AM,06/24/2020 12:00:00 AM,1200
201715612,11/21/2020 12:00:00 AM,11/20/2020 12:00:00 AM,2200
200618146,11/17/2020 12:00:00 AM,11/17/2020 12:00:00 AM,1050
202017585,11/24/2020 12:00:00 AM,11/24/2020 12:00:00 AM,2235
201414285,07/24/2020 12:00:00 AM,07/24/2020 12:00:00 AM,415
201509341,04/30/2020 12:00:00 AM,04/30/2020 12:00:00 AM,50
201315598,08/16/2020 12:00:00 AM,08/16/2020 12:00:00 AM,2045
200308998,03/24/2020 12:00:00 AM,03/24/2020 12:00:00 AM,1620
201816124,08/24/2020 12:00:00 AM,08/24/2020 12:00:00 AM,2050
201319061,10/26/2020 12:00:00 AM,10/26/2020 12:00:00 AM,1305
201821407,11/30/2020 12:00:00 AM,11/30/2020 12:00:00 AM,1723
201909938,05/17/2020 12:00:00 AM,05/17/2020 12:00:00 AM,200
200312552,06/11/2020 12:00:00 AM,06/11/2020 12:00:00 AM,1755
200318167,10/01/2020 12:00:00 AM,10/01/2020 12:00:00 AM,1600
201209707,03/24/2020 12:00:00 AM,03/24/2020 12:00:00 AM,700
201412957,06/26/2020 12:00:00 AM,06/26/2020 12:00:00 AM,1930
200613641,08/07/2020 12:00:00 AM,08/07/2020 12:00:00 AM,1330
200307621,02/29/2020 12:00:00 AM,02/29/2020 12:00:00 AM,1700
200708839,05/03/2020 12:00:00 AM,05/02/2020 12:00:00 AM,1915
201225824,12/05/2020 12:00:00 AM,12/05/2020 12:00:00 AM,1815
201911795,07/04/2020 12:00:00 AM,07/04/2020 12:00:00 AM,2145
202008207,04/02/2020 12:00:00 AM,04/02/2020 12:00:00 AM,1030
201418024,09/29/2020 12:00:00 AM,09/29/2020 12:00:00 AM,2220
201214665,06/14/2020 12:00:00 AM,06/14/2020 12:00:00 AM,1330
200514957,10/07/2020 12:00:00 AM,10/07/2020 12:00:00 AM,30
211204014,12/31/2020 12:00:00 AM,12/31/2020 12:00:00 AM,1600
201009370,05/26/2020 12:00:00 AM,05/26/2020 12:00:00 AM,745
200111423,05/06/2020 12:00:00 AM,05/06/2020 12:00:00 AM,2305
201307616,03/05/2020 12:00:00 AM,03/05/2020 12:00:00 AM,430
201714209,10/12/2020 12:00:00 AM,10/11/2020 12:00:00 AM,1600
201811487,05/22/2020 12:00:00 AM,05/22/2020 12:00:00 AM,330
201811722,05/25/2020 12:00:00 AM,05/25/2020 12:00:00 AM,1752
200614971,09/05/2020 12:00:00 AM,09/05/2020 12:00:00 AM,820
200118991,10/05/2020 12:00:00 AM,10/05/2020 12:00:00 AM,1630
201817785,09/25/2020 12:00:00 AM,09/25/2020 12:00:00 AM,2310
200320094,11/08/2020 12:00:00 AM,11/08/2020 12:00:00 AM,1900
