DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd
190326475,03/01/2020 12:00:00 AM,03/01/2020 12:00:00 AM,2130,7,Wilshire,784,1,510
200106753,02/09/2020 12:00:00 AM,02/08/2020 12:00:00 AM,1800,1,Central,182,1,330
200320258,11/11/2020 12:00:00 AM,11/04/2020 12:00:00 AM,1700,3,Southwest,356,1,480
200907217,05/10/2023 12:00:00 AM,03/10/2020 12:00:00 AM,2037,9,Van Nuys,964,1,343
220614831,08/18/2022 12:00:00 AM,08/17/2020 12:00:00 AM,1200,6,Hollywood,666,2,354
231808869,04/04/2023 12:00:00 AM,12/01/2020 12:00:00 AM,2300,18,Southeast,1826,2,354
230110144,04/04/2023 12:00:00 AM,07/03/2020 12:00:00 AM,900,1,Central,182,2,354
220314085,07/22/2022 12:00:00 AM,05/12/2020 12:00:00 AM,1110,3,Southwest,303,2,354
231309864,04/28/2023 12:00:00 AM,12/09/2020 12:00:00 AM,1400,13,Newton,1375,2,354
211904005,12/31/2020 12:00:00 AM,12/31/2020 12:00:00 AM,1220,19,Mission,1974,2,624
221804943,01/21/2022 12:00:00 AM,07/01/2020 12:00:00 AM,1335,18,Southeast,1822,2,354
221908151,04/12/2022 12:00:00 AM,10/01/2020 12:00:00 AM,1,19,Mission,1988,1,821
230204214,01/05/2023 12:00:00 AM,02/01/2020 12:00:00 AM,800,2,Rampart,201,2,812
221008844,05/06/2022 12:00:00 AM,11/01/2020 12:00:00 AM,130,10,West Valley,1029,1,510
230207571,03/16/2023 12:00:00 AM,01/01/2020 12:00:00 AM,1500,2,Rampart,271,2,810
230312288,06/01/2023 12:00:00 AM,02/02/2020 12:00:00 AM,315,3,Southwest,391,2,354
231805781,02/03/2023 12:00:00 AM,07/01/2020 12:00:00 AM,805,18,Southeast,1802,2,354
231322474,12/24/2023 12:00:00 AM,01/09/2020 12:00:00 AM,1200,13,Newton,1354,2,354
210705560,11/27/2020 12:00:00 AM,11/27/2020 12:00:00 AM,1800,7,Wilshire,776,1,230
221016258,09/20/2022 12:00:00 AM,01/01/2020 12:00:00 AM,1,10,West Valley,1067,2,956
220705246,02/03/2022 12:00:00 AM,02/11/2020 12:00:00 AM,1200,7,Wilshire,747,1,341
230808643,04/25/2023 12:00:00 AM,01/01/2020 12:00:00 AM,800,8,West LA,801,1,341
231907172,03/21/2023 12:00:00 AM,03/15/2020 12:00:00 AM,1200,19,Mission,1983,2,812
232011098,06/04/2023 12:00:00 AM,07/01/2020 12:00:00 AM,1200,20,Olympic,2088,2,812
200412582,09/09/2020 12:00:00 AM,09/09/2020 12:00:00 AM,630,4,Hollenbeck,413,1,510
232112438,08/03/2023 12:00:00 AM,07/01/2020 12:00:00 AM,1200,21,Topanga,2157,2,354
221105176,02/02/2022 12:00:00 AM,02/09/2020 12:00:00 AM,1200,11,Northeast,1132,2,930
222106031,02/23/2022 12:00:00 AM,08/14/2020 12:00:00 AM,1300,21,Topanga,2113,2,668
211209197,03/20/2021 12:00:00 AM,07/01/2020 12:00:00 AM,1425,12,77th Street,1243,2,354
220808837,04/28/2022 12:00:00 AM,03/30/2020 12:00:00 AM,1630,8,West LA,842,2,624
231207725,02/27/2023 12:00:00 AM,01/27/2020 12:00:00 AM,635,12,77th Street,1242,2,354
231205231,01/17/2023 12:00:00 AM,01/01/2020 12:00:00 AM,1535,12,77th Street,1268,2,354
