Crm Cd	Vict Age	Vict Sex	Vict Descent
510	0	M	O
821	8	F	H
812	7	F	W
510	0		
810	13	F	H
812	12	F	H
812	7	F	H
510	0		
668	0		
420	0		
420	0		
354	15	F	H
813	15	F	H
812	9	M	W
310	-2	X	X
420	0		
354	16	M	H
341	0	X	X
440	15	F	H
762	6	M	B
812	10	F	W
420	0		
510	0		
420	0		
330	18	F	H
812	9	F	H
956	17	F	W
813	5	F	H
510	0		
354	18	M	B
420	0		
510	0		
420	0		
820	14	F	H
812	12	F	H
812	12	F	H
810	14	F	H
901	15	F	H
812	5	F	H
812	13	F	H
946	-2	X	X
331	0	X	X
510	0		
510	0		
812	11	F	H
121	10	F	H
626	10	F	H
745	0	X	X
510	0		
946	0	M	H
813	13	F	W
820	6	F	B
627	5	F	H
860	10	F	W
821	14	F	H
420	0		
845	0	X	X
354	0	X	X
510	0		
627	12	M	H
510	0		
121	18	F	B
812	8	F	F
813	11	F	W
812	8	F	H
121	11	F	H
815	7	F	H
810	14	F	H
820	8	M	B
820	6	F	B
860	12	F	H
354	16	M	H
624	14	F	W
510	0		
815	8	F	B
820	3	M	B
668	0	X	X
845	0	X	X
812	13	F	H
813	16	F	H
812	10	F	H
354	11	M	H
626	18	F	H
815	6	F	H
812	17	F	H
510	0		
354	13	M	H
845	0	M	O
860	15	F	H
886	18	F	B
121	8	F	H
820	14	F	H
510	0		
930	-2	M	W
930	18	F	H
510	0		
420	0		
820	7	F	H
845	0	X	X
510	0		
510	0		
813	10	F	H
121	12	F	W
420	0		
810	12	F	H
624	14	M	H
845	0	X	X
510	0		
649	0	M	W
420	0		
668	0		
820	14	F	H
121	18	F	H
946	13	F	O
420	0		
510	0		
810	16	F	H
627	5	M	H
510	0		
812	7	M	H
420	0		
121	16	F	W
668	0		
510	0		
956	0	X	X
121	13	F	H
341	0	M	X
510	0		
812	9	F	H
510	0		
956	13	F	H
236	16	F	W
812	16	M	O
668	0	X	X
627	10	F	B
510	0		
813	11	F	H
354	-1	M	W
845	0	M	O
420	0		
956	13	F	W
815	13	F	W
510	0		
310	-1	X	X
420	0		
813	10	F	H
121	16	F	H
510	0		
845	-1	X	X
354	16	F	B
510	0		
810	14	F	O
812	3	M	H
442	-1	X	X
815	8	F	W
860	11	F	H
510	0		
668	0		
812	11	F	H
510	0		
510	0		
341	-2	M	W
668	0	X	X
812	2	M	B
810	14	F	W
420	0		
510	0		
845	0	X	X
341	0	M	W
812	6	F	H
812	8	F	B
815	2	F	B
954	13	F	B
627	5	M	B
420	0		
354	17	M	H
627	3	F	H
860	16	F	H
860	8	F	O
745	-1	X	X
627	14	F	O
668	0		
121	15	F	B
812	12	F	H
812	11	F	H
354	-2	M	W
860	16	M	O
121	10	F	H
510	0		
354	-1	M	W
510	0		
510	0		
812	14	M	W
420	0		
845	0	X	X
812	10	F	H
627	12	M	H
510	0		
812	7	F	H
815	12	F	H
510	0		
815	8	F	H
810	14	F	X
812	14	F	H
510	0		
627	13	F	H
354	18	M	H
510	0		
510	0		
235	13	F	H
420	0		
310	-1	X	X
845	-1	X	X
121	15	F	H
668	0		
510	0		
810	13	F	B
235	4	F	A
661	13	F	W
956	0	X	X
845	0	X	X
845	-1	X	X
121	13	F	H
845	-1	X	X
442	0	X	X
354	17	F	B
812	12	F	H
510	0		
354	0	M	O
