DR_NO	Date Rptd	DATE OCC	TIME OCC	AREA	AREA NAME	Rpt Dist No	Part 1-2	Crm Cd	Vict Age	Vict Sex	Vict Descent	LAT	LON
190326475	03/01/2020 12:00:00 AM	03/01/2020 12:00:00 AM	2130	7	Wilshire	784	1	510	0	M	O	34.0375	-118.3506
200106753	02/09/2020 12:00:00 AM	02/08/2020 12:00:00 AM	1800	1	Central	182	1	330	47	M	O	34.0444	-118.2628
200320258	11/11/2020 12:00:00 AM	11/04/2020 12:00:00 AM	1700	3	Southwest	356	1	480	19	Others	X	34.021	-118.3002
200907217	05/10/2023 12:00:00 AM	03/10/2020 12:00:00 AM	2037	9	Van Nuys	964	1	343	19	M	O	34.1576	-118.4387
220614831	08/18/2022 12:00:00 AM	08/17/2020 12:00:00 AM	1200	6	Hollywood	666	2	354	28	M	H	34.0944	-118.3277
231808869	04/04/2023 12:00:00 AM	12/01/2020 12:00:00 AM	2300	18	Southeast	1826	2	354	41	M	H	33.9467	-118.2463
230110144	04/04/2023 12:00:00 AM	07/03/2020 12:00:00 AM	900	1	Central	182	2	354	25	M	H	34.0415	-118.262
220314085	07/22/2022 12:00:00 AM	05/12/2020 12:00:00 AM	1110	3	Southwest	303	2	354	27	F	B	34.0335	-118.3537
231309864	04/28/2023 12:00:00 AM	12/09/2020 12:00:00 AM	1400	13	Newton	1375	2	354	24	F	B	33.9911	-118.2521
211904005	12/31/2020 12:00:00 AM	12/31/2020 12:00:00 AM	1220	19	Mission	1974	2	624	26	M	H	34.2336	-118.4535
221804943	01/21/2022 12:00:00 AM	07/01/2020 12:00:00 AM	1335	18	Southeast	1822	2	354	26	M	B	33.9492	-118.2739
221908151	04/12/2022 12:00:00 AM	10/01/2020 12:00:00 AM	1	19	Mission	1988	1	821	8	F	H	34.2285	-118.4258
230204214	01/05/2023 12:00:00 AM	02/01/2020 12:00:00 AM	800	2	Rampart	201	2	812	7	F	W	34.0868	-118.2991
221008844	05/06/2022 12:00:00 AM	11/01/2020 12:00:00 AM	130	10	West Valley	1029	1	510	0			34.1939	-118.4859
230207571	03/16/2023 12:00:00 AM	01/01/2020 12:00:00 AM	1500	2	Rampart	271	2	810	13	F	H	34.0539	-118.2799
230312288	06/01/2023 12:00:00 AM	02/02/2020 12:00:00 AM	315	3	Southwest	391	2	354	56	M	B	34.0103	-118.3456
231805781	02/03/2023 12:00:00 AM	07/01/2020 12:00:00 AM	805	18	Southeast	1802	2	354	22	F	B	33.9551	-118.2814
231322474	12/24/2023 12:00:00 AM	01/09/2020 12:00:00 AM	1200	13	Newton	1354	2	354	23	M	B	34.0112	-118.2716
210705560	11/27/2020 12:00:00 AM	11/27/2020 12:00:00 AM	1800	7	Wilshire	776	1	230	31	F	O	34.0452	-118.3351
