"Crm Cd",LAT,LON
510,34.0375,-118.3506
330,34.0444,-118.2628
480,34.021,-118.3002
343,34.1576,-118.4387
354,34.0944,-118.3277
354,33.9467,-118.2463
354,34.0415,-118.262
354,34.0335,-118.3537
354,33.9911,-118.2521
624,34.2336,-118.4535
354,33.9492,-118.2739
821,34.2285,-118.4258
812,34.0868,-118.2991
510,34.1939,-118.4859
810,34.0539,-118.2799
354,34.0103,-118.3456
354,33.9551,-118.2814
354,34.0112,-118.2716
230,34.0452,-118.3351
956,34.166,-118.5033
341,34.0608,-118.3359
341,34.0677,-118.552
812,34.2246,-118.4654
812,34.0433,-118.2892
510,34.082,-118.213
354,34.1938,-118.5906
930,34.1084,-118.2639
668,34.2105,-118.6157
354,33.9785,-118.3068
624,34.0474,-118.4635
354,33.9837,-118.3216
354,33.961,-118.2739
330,34.1192,-118.3004
420,34.0022,-118.4255
420,34.0697,-118.2779
930,33.9679,-118.2695
354,33.9587,-118.2882
354,34.174,-118.3638
354,34.0286,-118.1996
354,34.228,-118.4517
354,34.1776,-118.523
354,33.9739,-118.263
813,34.0541,-118.2621
812,34.174,-118.3878
354,34.0174,-118.2621
354,34.1585,-118.464
354,34.3194,-118.4518
310,34.103,-118.3402
354,34.0337,-118.2915
354,33.9717,-118.2827
903,34.1614,-118.379
341,33.7234,-118.2968
354,34.0552,-118.2675
354,34.2713,-118.415
354,34.1925,-118.3779
420,34.1146,-118.3607
440,34.1142,-118.2652
354,34.2648,-118.5055
354,34.0431,-118.3482
354,34.0395,-118.2093
354,34.0466,-118.259
354,34.103,-118.3225
341,34.0403,-118.2421
626,34.0596,-118.4233
440,34.244,-118.5583
330,34.1428,-118.2261
354,34.2394,-118.5112
354,34.307,-118.4521
762,33.9383,-118.2826
441,34.2442,-118.5362
354,34.2048,-118.5219
354,34.3054,-118.4681
310,33.9788,-118.4151
354,33.9636,-118.3068
812,34.1548,-118.3662
354,33.9993,-118.4397
420,34.1776,-118.3889
354,33.9332,-118.2485
354,33.9821,-118.3318
354,34.0325,-118.3639
930,34.0549,-118.4671
510,33.9547,-118.2717
420,33.9876,-118.4489
330,34.1412,-118.3681
956,34.0648,-118.2559
331,34.0191,-118.2977
354,33.9345,-118.2329
812,33.9921,-118.298
354,34.1887,-118.4313
354,34.1787,-118.5475
956,34.1484,-118.6033
626,34.0055,-118.2915
813,34.0301,-118.3636
330,34.2573,-118.463
510,34.2071,-118.3965
