LAT,LON
34.0565,-118.4445
34.0943,-118.331
34.0934,-118.2928
34.0955,-118.2932
34.2178,-118.373
34.1867,-118.4774
33.9727,-118.2914
34.1867,-118.4774
34.1867,-118.4774
34.0518,-118.3063
33.9698,-118.2912
34.0261,-118.3589
34.2787,-118.3903
34.0249,-118.2121
34.214,-118.6311
34.0462,-118.3444
34.0255,-118.1957
34.2554,-118.5907
34.2207,-118.6418
34.169,-118.507
34.1629,-118.5202
33.9806,-118.2717
34.261,-118.4874
34.2214,-118.5055
34.1866,-118.5411
34.205,-118.5109
34.3172,-118.4341
34.0581,-118.3009
33.9773,-118.3279
34.1684,-118.4586
34.2152,-118.4488
34.2306,-118.5645
34.025,-118.2618
34.1875,-118.5413
34.1866,-118.5098
34.069,-118.2991
34.0408,-118.3435
34.2514,-118.5317
34.1807,-118.536
34.0306,-118.204
34.1509,-118.5911
34.2143,-118.5534
34.2572,-118.5951
34.0436,-118.2051
34.2244,-118.5804
34.2239,-118.3666
34.1774,-118.5387
33.7974,-118.2372
33.9308,-118.2493
34.1536,-118.4181
34.2314,-118.3973
34.153,-118.4312
34.0735,-118.3828
33.7782,-118.2676
34.2626,-118.4094
34.268,-118.4288
34.2739,-118.3033
34.2048,-118.3692
34.252,-118.4365
