DR_NO,AREA,AREA NAME,Rpt Dist No,LOCATION,Cross Street,LAT,LON
201309918,13,Newton,1309,SANTA MONICA FY,ALAMEDA ST,34.0241,-118.232
200808185,8,West LA,833,1300 MIDVALE AV,,34.0565,-118.4445
202116237,21,Topanga,2118,20100 ROSCOE BL,,34.2202,-118.5714
201407132,14,Pacific,1425,3200 SAWTELLE BL,,34.0234,-118.4292
200213879,2,Rampart,201,800 N KENMORE AV,,34.0858,-118.297
201216692,12,77th Street,1248,900 W 64TH ST,,33.981,-118.2897
200614773,6,Hollywood,637,1800 ARGYLE AV,,34.1037,-118.3252
200319306,3,Southwest,356,NORMANDIE AV,36TH PL,34.0219,-118.3002
202006611,20,Olympic,2088,W WASHINGTON BL,HOOVER ST,34.0399,-118.2841
210505348,5,Harbor,526,MARINE,ANAHEIM,33.7799,-118.2639
210104599,1,Central,119,LOS ANGELES,CALIFORNIA,34.0577,-118.2318
210312307,3,Southwest,334,3000 12TH AV,,34.0261,-118.3317
211311240,13,Newton,1352,400 E 43RD ST,,34.0057,-118.2669
211608365,16,Foothill,1656,SHERMAN GROVE,FOOTHILL BL,34.2597,-118.3201
211312016,13,Newton,1333,700 E 27TH ST,,34.0199,-118.2601
211608370,16,Foothill,1689,10800 CANTARA ST,,34.2226,-118.3713
210212709,2,Rampart,201,1000 N VERMONT AV,,34.0873,-118.296
211011095,10,West Valley,1065,5200 NEWCASTLE AV,,34.1645,-118.5244
210611230,6,Hollywood,646,6600 HOLLYWOOD BL,,34.1016,-118.334
221414195,14,Pacific,1441,SPEEDWAY,WASHINGTON,33.9792,-118.4666
220609095,6,Hollywood,666,1300 N WILCOX AV,,34.0943,-118.331
220120450,1,Central,123,1ST ST,HILL ST,34.0543,-118.2466
231415125,14,Pacific,1435,3400 FEDERAL AV,,34.0129,-118.4291
221212468,12,77th Street,1239,600 W 60TH ST,,33.9851,-118.2842
220717413,7,Wilshire,721,8700 GRACIE ALLEN DR,,34.0753,-118.3795
221510989,15,N Hollywood,1504,7400 LANKERSHIM BL,,34.2045,-118.392
241604013,16,Foothill,1634,12200 OSBORNE ST,,34.2709,-118.3974
240604490,6,Hollywood,668,ST ANDREWS,DE LONGPRE AV,34.0968,-118.311
230618559,6,Hollywood,668,ST ANDREWS,DE LONGPRE,34.0968,-118.311
240104710,1,Central,124,ST ANDREWS,DE LONGPRE AV,34.0525,-118.2432
230414032,4,Hollenbeck,409,5200 N HUNTINGTON,,34.09,-118.168
230500775,5,Harbor,567,400 W 22ND ST,,33.7242,-118.2858
230517385,5,Harbor,564,100 W 1ST ST,,33.7433,-118.2797
231115631,11,Northeast,1136,4100 EAGLE ROCK BL,,34.1209,-118.227
230600555,6,Hollywood,646,WILCOX,HOLLYWOOD,34.1016,-118.331
230508655,5,Harbor,525,600 W F ST,,33.7767,-118.2687
231107773,11,Northeast,1163,NEW HAMPSHIRE AV,LEXINGTON AV,34.0934,-118.2928
230300679,3,Southwest,358,600 W 34TH ST,,34.0212,-118.2805
231108093,11,Northeast,1163,NEW HAMPSHIRE AV,LEXINGTON AV,34.0955,-118.2932
240700646,7,Wilshire,775,4800 W 17TH ST,,34.0449,-118.3411
241007152,10,West Valley,1063,LINDLEY AV,VENTURA BL,34.1682,-118.5406
201815548,18,Southeast,1844,700 E 109TH ST,,33.9373,-118.263
200400922,4,Hollenbeck,417,3800 LINCOLN HIGH CT,,34.0748,-118.1994
201711219,17,Devonshire,1753,10200 MASON AV,,34.2551,-118.5798
200612588,6,Hollywood,644,1400 N VISTA ST,,34.0963,-118.3517
200914590,9,Van Nuys,911,7000 FIRMAMENT AV,,34.1975,-118.4727
201706495,17,Devonshire,1791,8600 DE SOTO AV,,34.227,-118.5885
200208133,2,Rampart,251,CORONADO ST,6TH ST,34.062,-118.2804
202114241,21,Topanga,2157,21200 KITTRIDGE ST,,34.1913,-118.5942
202109696,21,Topanga,2196,4600 WESTCHESTER DR,,34.1539,-118.5827
201407453,14,Pacific,1434,3700 BOISE AV,,34.0051,-118.4384
201912478,19,Mission,1999,8100 WOODMAN AV,,34.2179,-118.4317
201016127,10,West Valley,1029,7100 VALJEAN AV,,34.1995,-118.4859
202108902,21,Topanga,2107,21000 ROSCOE BL,,34.2234,-118.5932
200410505,4,Hollenbeck,437,4700 KLAMATH PL,,34.0748,-118.1824
201206885,12,77th Street,1245,1400 W GAGE AV,,33.9824,-118.3003
200509604,5,Harbor,514,1200 W DON ST,,33.7977,-118.2773
200304317,3,Southwest,311,5600 W JEFFERSON BL,,34.0261,-118.366
201610437,16,Foothill,1698,7900 DE GARMO AV,,34.214,-118.3531
201016417,10,West Valley,1011,18900 SHERMAN WY,,34.2012,-118.5469
201607943,16,Foothill,1687,11100 ARMINTA ST,,34.2178,-118.373
200317319,3,Southwest,392,4900 5TH AV,,33.9963,-118.3226
201715833,17,Devonshire,1794,18300 NAPA ST,,34.2265,-118.5339
201111737,11,Northeast,1145,2200 LOMA VISTA PL,,34.1024,-118.2546
201008100,10,West Valley,1039,6400 DENSMORE AV,,34.1867,-118.4774
202105439,21,Topanga,2175,5800 SHOUP AV,,34.1756,-118.6146
200715172,7,Wilshire,714,300 N FULLER AV,,34.0762,-118.3498
200216196,2,Rampart,266,1600 W 7TH ST,,34.0539,-118.2712
200619097,6,Hollywood,647,1500 GORDON ST,,34.098,-118.3197
200911798,9,Van Nuys,946,5700 COLBATH AV,,34.1739,-118.4367
201011819,10,West Valley,1025,18200 GAULT ST,,34.1993,-118.5306
200405459,4,Hollenbeck,438,2900 VAQUERO AV,,34.0786,-118.1693
201013666,10,West Valley,1091,4400 ROMERO DR,,34.1505,-118.5575
202115513,21,Topanga,2145,6500 MOORCROFT AV,,34.1884,-118.611
202109695,21,Topanga,2196,4600 WESTCHESTER DR,,34.1539,-118.5827
201706686,17,Devonshire,1747,16600 CHATSWORTH ST,,34.2647,-118.4935
201315036,13,Newton,1362,300 E 48TH ST,,33.9993,-118.2707
202115924,21,Topanga,2159,19800 VICTORY BL,,34.1866,-118.5632
200911308,9,Van Nuys,963,14600 OTSEGO ST,,34.163,-118.4509
201009612,10,West Valley,1003,INGOMAR ST,BAIRD AV,34.212,-118.5374
201804546,18,Southeast,1838,2000 SANTA ANA BL,,33.9399,-118.2362
201818784,18,Southeast,1805,400 E 93RD ST,,33.9542,-118.2684
200306290,3,Southwest,363,MUIRFIELD RD,SANTO TOMAS DR,34.0111,-118.3477
201614652,16,Foothill,1687,8400 TUJUNGA AV,,34.2226,-118.3792
202105487,21,Topanga,2144,6500 SAUSALITO AV,,34.1878,-118.6161
201714494,17,Devonshire,1767,18400 PRAIRIE ST,,34.2442,-118.5362
200211615,2,Rampart,249,BIXEL,MARYLAND,34.0558,-118.2609
201221205,12,77th Street,1218,5300 S HOOVER ST,,33.9937,-118.2871
201011497,10,West Valley,1043,5800 RESEDA BL,,34.1769,-118.5384
201917798,19,Mission,1977,13400 BRANFORD ST,,34.2338,-118.4301
201208082,12,77th Street,1258,100 W 75TH ST,,33.9718,-118.2739
200413124,4,Hollenbeck,448,1300 DE NEVE LN,,34.0568,-118.1968
201010767,10,West Valley,1024,6700 KURL WY,,34.1919,-118.543
202113609,21,Topanga,2169,5900 OAKDALE AV,,34.1776,-118.5657
200410184,4,Hollenbeck,409,4300 ALPHA ST,,34.0945,-118.1593
200613047,6,Hollywood,645,1700 N ORANGE DR,,34.1015,-118.3417
201211073,12,77th Street,1256,7300 S VERMONT AV,,33.9727,-118.2914
201906998,19,Mission,1981,8500 MARKLEIN AV,,34.2247,-118.4709
200913797,9,Van Nuys,935,6200 SYLMAR AV,,34.1837,-118.4465
201016407,10,West Valley,1001,19000 INGOMAR ST,,0,0
201715394,17,Devonshire,1779,16100 CALAHAN ST,,34.2366,-118.4824
200810829,8,West LA,833,10900 WILSHIRE BL,,34.0586,-118.4446
201708984,17,Devonshire,1705,13200 CONSTABLE AV,,34.3099,-118.5045
200406234,4,Hollenbeck,422,3100 DARWIN AV,,34.0707,-118.2103
201413548,14,Pacific,1469,7000 S LA CIENEGA BL,,33.9744,-118.3702
200404475,4,Hollenbeck,428,4900 TEMPLETON ST,,34.082,-118.1769
201917298,19,Mission,1908,13200 CRANSTON AV,,34.3117,-118.4186
201007501,10,West Valley,1041,5900 CAHILL AV,,34.1774,-118.5491
201111829,11,Northeast,1177,2600 CARLETON AV,,34.0904,-118.2272
201014026,10,West Valley,1015,7400 ETIWANDA AV,,34.2048,-118.5316
201016164,10,West Valley,1018,15900 VALERIO ST,,34.2048,-118.4804
200618440,6,Hollywood,639,1800 N NORMANDIE AV,,34.1036,-118.3049
202113223,21,Topanga,2106,8800 ETON AV,,34.2286,-118.5951
201908239,19,Mission,1984,8400 CEDROS AV,,34.2265,-118.4565
201321126,13,Newton,1395,400 E 64TH ST,,33.9815,-118.2673
201910505,19,Mission,1924,12300 SAN FERNANDO RD,,34.2913,-118.4502
201612631,16,Foothill,1606,11300 OSBORNE ST,,34.2779,-118.377
201505491,15,N Hollywood,1562,4500 LAUREL CANYON BL,,34.1533,-118.4058
201008109,10,West Valley,1039,6400 DENSMORE AV,,34.1867,-118.4774
200813492,8,West LA,833,1300 MIDVALE AV,,34.0557,-118.444
202107735,21,Topanga,2105,21800 NAPA ST,,34.2257,-118.6029
201007883,10,West Valley,1039,6400 DENSMORE AV,,34.1867,-118.4774
201011894,10,West Valley,1018,7400 GLORIA AV,,34.2048,-118.4793
201008769,10,West Valley,1025,18300 VANOWEN ST,,34.1975,-118.5273
201207432,12,77th Street,1259,900 E 73RD ST,,33.9739,-118.2586
200610529,6,Hollywood,636,1700 WILCOX AV,,34.1016,-118.331
202007392,20,Olympic,2049,2900 FRANCIS AV,,34.0568,-118.2891
201012605,10,West Valley,1045,17900 BULLOCK ST,,34.1797,-118.5262
201909173,19,Mission,1924,12100 SAN FERNANDO RD,,34.2913,-118.4502
202008391,20,Olympic,2053,900 S SERRANO AV,,34.0518,-118.3063
202105219,21,Topanga,2134,7000 SHOUP AV,,34.2065,-118.6147
201606863,16,Foothill,1668,9400 REVERIE RD,,34.2407,-118.2947
200708848,7,Wilshire,722,6600 DREXEL AV,,34.0693,-118.3706
201413555,14,Pacific,1402,11400 NATIONAL BL,,34.0276,-118.437
202110419,21,Topanga,2111,7900 QUIMBY AV,,34.2138,-118.6311
201716073,17,Devonshire,1752,DEVONSHIRE ST,DE SOTO AV,34.2573,-118.5886
200804892,8,West LA,882,11500 LA GRANGE AV,,34.0393,-118.4465
200913761,9,Van Nuys,906,14300 VALERIO ST,,34.2048,-118.4455
201005195,10,West Valley,1023,SHERMAN WY,LINDLEY AV,34.1944,-118.5486
201105293,11,Northeast,1146,2700 DENBY AV,,34.1026,-118.2455
202106065,21,Topanga,2129,19900 CANTARA ST,,34.2189,-118.5667
201715173,17,Devonshire,1735,17400 HORACE ST,,34.2697,-118.5132
201008770,10,West Valley,1025,18300 VANOWEN ST,,34.1975,-118.5273
201410821,14,Pacific,1431,00 HORIZON AV,,33.9882,-118.4741
201910777,19,Mission,1901,15400 GLENOAKS BL,,34.3261,-118.4889
201817317,18,Southeast,1846,1500 E IMPERIAL HY,,33.9295,-118.2482
200315040,3,Southwest,326,2600 DALTON AV,,34.0327,-118.3041
201211490,12,77th Street,1257,900 W 77TH ST,,33.9698,-118.2912
201010643,10,West Valley,1023,6900 TOPEKA DR,,34.1962,-118.546
202105999,21,Topanga,2136,7300 VARIEL AV,,34.2047,-118.5994
201013730,10,West Valley,1018,7600 DENSMORE AV,,34.2085,-118.4771
201415400,14,Pacific,1468,11900 ALLIN ST,,33.9923,-118.4105
201011943,10,West Valley,1018,7400 GLORIA AV,,34.2048,-118.4793
201713955,17,Devonshire,1791,20900 BRYANT ST,,34.227,-118.5885
200411881,4,Hollenbeck,449,2600 POMEROY AV,,34.0534,-118.1992
201207774,12,77th Street,1205,1400 W 52ND ST,,33.9974,-118.2982
201013497,10,West Valley,1011,18900 SHERMAN WY,,34.2012,-118.5469
202006182,20,Olympic,2024,600 S ARDMORE AV,,34.0636,-118.3016
201716568,17,Devonshire,1792,8300 PENFIELD AV,,34.2203,-118.5688
200309964,3,Southwest,312,2900 S REDONDO BL,,34.0261,-118.3589
201715230,17,Devonshire,1795,17100 ROSCOE BL,,34.2214,-118.5055
200105139,1,Central,111,700 N ALAMEDA ST,,34.0615,-118.2412
201606519,16,Foothill,1602,11800 GLADSTONE AV,,34.2843,-118.3996
200314776,3,Southwest,326,2600 DALTON AV,,34.0327,-118.3041
200316615,3,Southwest,379,3900 S BUDLONG AV,,34.0142,-118.2959
201609558,16,Foothill,1612,12900 VAN NUYS BL,,34.2733,-118.4202
200211809,2,Rampart,236,200 S BURLINGTON AV,,34.0626,-118.2681
201013109,10,West Valley,1025,6900 ETIWANDA AV,,34.1959,-118.5317
201705843,17,Devonshire,1794,18400 MALDEN ST,,34.2251,-118.5333
201010949,10,West Valley,1067,5100 WHITE OAK AV,,34.1624,-118.5185
202112704,21,Topanga,2157,6700 ETON AV,,34.1926,-118.5955
201308754,13,Newton,1324,2100 S CENTRAL AV,,0,0
201608318,16,Foothill,1605,11500 WHEELER AV,,34.2787,-118.3903
