DR_NO,Crm Cd,Crm Cd Desc
201309918,756,WEAPONS POSSESSION/BOMBING
200808185,756,WEAPONS POSSESSION/BOMBING
202116237,756,WEAPONS POSSESSION/BOMBING
201407132,756,WEAPONS POSSESSION/BOMBING
200213879,756,WEAPONS POSSESSION/BOMBING
201216692,756,WEAPONS POSSESSION/BOMBING
200614773,756,WEAPONS POSSESSION/BOMBING
200319306,756,WEAPONS POSSESSION/BOMBING
202006611,756,WEAPONS POSSESSION/BOMBING
210505348,756,WEAPONS POSSESSION/BOMBING
210104599,756,WEAPONS POSSESSION/BOMBING
210312307,756,WEAPONS POSSESSION/BOMBING
211311240,756,WEAPONS POSSESSION/BOMBING
211608365,756,WEAPONS POSSESSION/BOMBING
211312016,756,WEAPONS POSSESSION/BOMBING
211608370,756,WEAPONS POSSESSION/BOMBING
210212709,756,WEAPONS POSSESSION/BOMBING
211011095,756,WEAPONS POSSESSION/BOMBING
210611230,756,WEAPONS POSSESSION/BOMBING
221414195,756,WEAPONS POSSESSION/BOMBING
220609095,756,WEAPONS POSSESSION/BOMBING
220120450,756,WEAPONS POSSESSION/BOMBING
231415125,756,WEAPONS POSSESSION/BOMBING
221212468,756,WEAPONS POSSESSION/BOMBING
220717413,756,WEAPONS POSSESSION/BOMBING
221510989,756,WEAPONS POSSESSION/BOMBING
241604013,756,WEAPONS POSSESSION/BOMBING
240604490,756,WEAPONS POSSESSION/BOMBING
230618559,756,WEAPONS POSSESSION/BOMBING
240104710,756,WEAPONS POSSESSION/BOMBING
230414032,756,WEAPONS POSSESSION/BOMBING
230500775,756,WEAPONS POSSESSION/BOMBING
230517385,756,WEAPONS POSSESSION/BOMBING
231115631,756,WEAPONS POSSESSION/BOMBING
230600555,756,WEAPONS POSSESSION/BOMBING
230508655,756,WEAPONS POSSESSION/BOMBING
231107773,756,WEAPONS POSSESSION/BOMBING
230300679,756,WEAPONS POSSESSION/BOMBING
231108093,756,WEAPONS POSSESSION/BOMBING
240700646,756,WEAPONS POSSESSION/BOMBING
241007152,756,WEAPONS POSSESSION/BOMBING
201815548,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
200400922,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201711219,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
200612588,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
200914590,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201706495,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
200208133,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
202114241,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
202109696,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201407453,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201912478,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201016127,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
202108902,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
200410505,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201206885,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
200509604,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
200304317,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201610437,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201016417,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201607943,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
200317319,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201715833,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201111737,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201008100,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
202105439,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
200715172,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
200216196,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
200619097,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
200911798,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201011819,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
200405459,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
201013666,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
